Time [s],SCLK,SDI,GPIO2,GPIO3
2.077391060,0,0,0,1
2.077392060,1,1,0,1
2.077393060,0,0,0,1
2.077394060,1,1,0,1
2.077395060,0,0,0,1
2.077396060,1,1,0,1
2.077397040,0,0,0,1
2.077398040,1,1,0,1
2.077399040,0,0,0,1
2.077400040,1,1,0,1
2.077401040,0,0,0,1
2.077402040,1,1,0,1
2.077403040,0,0,0,1
2.077404040,1,1,0,1
2.077405040,0,0,0,1
2.077440700,1,1,0,1
2.077441700,0,0,0,1
2.077442700,1,1,0,1
2.077443700,0,0,0,1
2.077444700,1,1,0,1
2.077445700,0,0,0,1
2.077446700,1,1,0,1
2.077447700,0,0,0,1
2.077448700,1,1,0,1
2.077449680,0,0,0,1
2.077450680,1,1,0,1
2.077451680,0,0,0,1
2.077452680,1,1,0,1
2.077453680,0,0,0,1
2.077454680,1,1,0,1
2.077455680,0,0,0,1
2.077467660,1,1,0,1
2.077468660,0,0,0,1
2.077469640,1,1,0,1
2.077470640,0,0,0,1
2.077471640,1,1,0,1
2.077472640,0,0,0,1
2.077473640,1,1,0,1
2.077474640,0,0,0,1
2.077475640,1,1,0,1
2.077476640,0,0,0,1
2.077477640,1,1,0,1
2.077478640,0,0,0,1
2.077479620,1,1,0,1
2.077480620,0,0,0,1
2.077481620,1,1,0,1
2.077482620,0,0,0,1
2.077496100,0,0,1,1
2.077597160,1,1,1,1
2.077598160,0,0,1,1
2.077599160,1,1,1,1
2.077600140,0,0,1,1
2.077601140,1,1,1,1
2.077602140,0,0,1,1
2.077603140,1,1,1,1
2.077604140,0,0,1,1
2.077605140,1,1,1,1
2.077606140,0,0,1,1
2.077607140,1,1,1,1
2.077608140,0,0,1,1
2.077609140,1,1,1,1
2.077610140,0,0,1,1
2.077611140,1,1,1,1
2.077612120,0,0,1,1
2.077625600,1,1,1,1
2.077626600,0,0,1,1
2.077627600,1,1,1,1
2.077628600,0,0,1,1
2.077629600,1,1,1,1
2.077630600,0,0,1,1
2.077631600,1,1,1,1
2.077632580,0,0,1,1
2.077633580,1,1,1,1
2.077634580,0,0,1,1
2.077635580,1,1,1,1
2.077636580,0,0,1,1
2.077637580,1,1,1,1
2.077638580,0,0,1,1
2.077639580,1,1,1,1
2.077640580,0,0,1,1
2.077654040,1,1,1,1
2.077655040,0,0,1,1
2.077656040,1,1,1,1
2.077657040,0,0,1,1
2.077658040,1,1,1,1
2.077659040,0,0,1,1
2.077660040,1,1,1,1
2.077661020,0,0,1,1
2.077662020,1,1,1,1
2.077663020,0,0,1,1
2.077664020,1,1,1,1
2.077665020,0,0,1,1
2.077666020,1,1,1,1
2.077667020,0,0,1,1
2.077668020,1,1,1,1
2.077669020,0,0,1,1
2.077682480,1,1,1,1
2.077683480,0,0,1,1
2.077684480,1,1,1,1
2.077685480,0,0,1,1
2.077686480,1,1,1,1
2.077687480,0,0,1,1
2.077688480,1,1,1,1
2.077689480,0,0,1,1
2.077690480,1,1,1,1
2.077691460,0,0,1,1
2.077692460,1,1,1,1
2.077693460,0,0,1,1
2.077694460,1,1,1,1
2.077695460,0,0,1,1
2.077696460,1,1,1,1
2.077697460,0,0,1,1
2.077710940,1,1,1,1
2.077711940,0,0,1,1
2.077712920,1,1,1,1
2.077713920,0,0,1,1
2.077714920,1,1,1,1
2.077715920,0,0,1,1
2.077716920,1,1,1,1
2.077717920,0,0,1,1
2.077718920,1,1,1,1
2.077719920,0,0,1,1
2.077720920,1,1,1,1
2.077721920,0,0,1,1
2.077722920,1,1,1,1
2.077723900,0,0,1,1
2.077724900,1,1,1,1
2.077725900,0,0,1,1
2.077739380,1,1,1,1
2.077740380,0,0,1,1
2.077741380,1,1,1,1
2.077742380,0,0,1,1
2.077743380,1,1,1,1
2.077744360,0,0,1,1
2.077745360,1,1,1,1
2.077746360,0,0,1,1
2.077747360,1,1,1,1
2.077748360,0,0,1,1
2.077749360,1,1,1,1
2.077750360,0,0,1,1
2.077751360,1,1,1,1
2.077752360,0,0,1,1
2.077753360,1,1,1,1
2.077754340,0,0,1,1
2.079540700,0,0,0,1
2.081584320,0,0,1,1
2.083628880,0,0,0,1
2.085672660,0,0,1,1
2.087717000,0,0,0,1
2.089760260,0,0,1,1
2.091805140,0,0,0,1
2.093848520,0,0,1,1
2.095893340,0,0,0,1
2.097936560,0,0,1,1
2.099981440,0,0,0,1
2.102024780,0,0,1,1
2.104069680,0,0,0,1
2.106113060,0,0,1,1
2.108158060,0,0,0,1
2.110201460,0,0,1,1
2.112246580,0,0,0,1
2.114290160,0,0,1,1
2.116335420,0,0,0,1
2.118378600,0,0,1,1
2.120423700,0,0,0,1
2.122467360,0,0,1,1
2.124512560,0,0,0,1
2.126556080,0,0,1,1
